,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
578,8117,5,,2017-12-06 16:40:06.337572+00,233,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
579,8118,1,,2017-12-06 16:40:06.393245+00,266,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
580,8119,1,,2017-12-06 16:40:06.428099+00,293,25,BL,MT,HL,LL,ML,ML,HL,HL,STL,GLB
581,8120,2,,2017-12-06 16:40:06.458259+00,95,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
582,8121,1,,2017-12-06 16:40:06.477375+00,189,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
583,8122,4,,2017-12-06 16:40:06.510235+00,365,25,LT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
584,8123,4,,2017-12-06 16:40:06.545828+00,267,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
585,8124,5,,2017-12-06 16:40:06.589578+00,14,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
586,8125,1,,2017-12-06 16:40:06.626018+00,173,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
587,8151,1,6.597567,2017-12-06 16:47:49.100653+00,27,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
588,8238,1,4.433187,2017-12-06 16:45:47.049025+00,116,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
589,8157,4,6.530626,2017-12-06 16:47:49.133097+00,33,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
590,8168,1,6.988983999999999,2017-12-06 16:47:49.208822+00,44,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
591,8221,5,6.255994,2017-12-06 16:47:49.292067+00,98,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
592,8130,5,2.7341990000000003,2017-12-06 16:45:47.22039+00,5,25,LT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
593,8181,3,7.993755999999999,2017-12-06 16:45:47.19647+00,57,25,BL,MT,HL,LL,ML,ML,HL,HL,STL,GLB
594,8148,5,2.756801,2017-12-06 16:45:46.671269+00,24,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
595,8263,4,6.497415,2017-12-06 16:47:49.166727+00,142,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
596,8288,2,6.590244,2017-12-06 16:47:49.276999+00,167,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
597,8343,2,2.664703,2017-12-06 16:45:47.156816+00,224,25,BL,MT,HL,LL,ML,ML,HL,HL,STL,GLB
598,8369,1,6.781297,2017-12-06 16:47:49.11298+00,253,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
599,8332,1,6.376504,2017-12-06 16:47:49.323143+00,213,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
600,8255,5,6.746956,2017-12-06 16:47:49.144014+00,134,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
601,8271,4,4.320268,2017-12-06 16:45:47.089123+00,150,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
602,8284,1,2.8331779999999998,2017-12-06 16:45:47.420736+00,163,25,LT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
603,8324,2,2.827659,2017-12-06 16:45:47.24895+00,205,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
604,8322,4,7.647208999999999,2017-12-06 16:45:46.782924+00,203,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
605,8484,4,7.156223,2017-12-06 16:47:49.254138+00,377,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
606,8480,3,9.00878,2017-12-06 16:45:46.937459+00,373,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
607,8392,3,7.011933999999999,2017-12-06 16:47:49.230331+00,279,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
608,8428,2,8.759122,2017-12-06 16:45:47.532569+00,316,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
609,8435,2,6.407175,2017-12-06 16:47:49.153975+00,324,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
610,8453,2,7.428406,2017-12-06 16:47:49.185622+00,345,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
611,8397,1,7.461734,2017-12-06 16:47:49.198286+00,284,25,LT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
612,8398,5,4.411519,2017-12-06 16:45:47.137127+00,285,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
613,8437,5,4.413444,2017-12-06 16:45:47.113899+00,326,25,,MT,HL,LL,ML,ML,HL,HL,STL,GLB
614,8393,4,2.801211,2017-12-06 16:45:46.813641+00,280,25,PH,MT,HL,LL,ML,ML,HL,HL,STL,GLB
615,8200,1,8.30342,2017-12-06 16:45:47.276831+00,76,25,LT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
616,8296,4,7.744975,2017-12-06 16:45:47.492925+00,176,25,HT,MT,HL,LL,ML,ML,HL,HL,STL,GLB
617,8416,3,7.496691,2017-12-06 16:45:47.556119+00,304,25,BL,MT,HL,LL,ML,ML,HL,HL,STL,GLB
618,8512,4,,2017-12-07 12:28:33.508055+00,15,29,LT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
619,8513,3,,2017-12-07 12:28:33.52154+00,130,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
620,8515,3,,2017-12-07 12:28:33.549923+00,120,29,HT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
621,8517,2,,2017-12-07 12:28:33.582078+00,45,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
622,8519,1,,2017-12-07 12:28:33.634026+00,212,29,LT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
623,8524,2,,2017-12-07 12:28:33.770296+00,329,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
624,8527,2,,2017-12-07 12:28:33.904039+00,149,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
625,8529,5,,2017-12-07 12:28:33.975897+00,165,29,HT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
626,8530,3,,2017-12-07 12:28:34.005709+00,111,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
627,9209,2,,2017-12-07 13:43:52.577233+00,394,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
628,9210,1,,2017-12-07 13:43:52.602636+00,39,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
629,9211,1,,2017-12-07 13:43:52.622645+00,105,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
630,9212,5,,2017-12-07 13:43:52.644218+00,104,30,LT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
631,9213,5,,2017-12-07 13:43:52.670394+00,231,30,LT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
632,9214,5,,2017-12-07 13:43:52.689606+00,299,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
633,9215,3,,2017-12-07 13:43:52.721849+00,41,30,LT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
634,9216,5,,2017-12-07 13:43:52.746013+00,244,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
635,9217,2,,2017-12-07 13:43:52.770804+00,64,30,HT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
636,9218,5,,2017-12-07 13:43:52.902424+00,67,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
637,9219,5,,2017-12-07 13:43:52.920191+00,195,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
638,9220,5,,2017-12-07 13:43:52.952367+00,27,30,HT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
639,9221,5,,2017-12-07 13:43:52.970722+00,264,30,BL,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
640,9222,2,,2017-12-07 13:43:52.987053+00,94,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
641,9223,5,,2017-12-07 13:43:53.001764+00,355,30,LT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
642,9224,1,,2017-12-07 13:43:53.016104+00,343,30,HT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
643,9225,3,,2017-12-07 13:43:53.033627+00,174,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
644,9226,1,,2017-12-07 13:43:53.051297+00,148,30,BL,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
645,9227,5,,2017-12-07 13:43:53.067189+00,396,30,HT,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
646,9228,5,,2017-12-07 13:43:53.090307+00,199,30,,ES,HL,HL,ML,LL,LL,HL,LLL,SQN
647,10019,5,,2017-12-07 14:12:39.902243+00,354,32,BL,EM,HL,ML,ML,LL,LL,HL,STL,SQN
648,10020,2,,2017-12-07 14:12:39.919169+00,121,32,HT,EM,HL,ML,ML,LL,LL,HL,STL,SQN
649,10021,3,,2017-12-07 14:12:39.938382+00,226,32,LT,EM,HL,ML,ML,LL,LL,HL,STL,SQN
650,10022,3,,2017-12-07 14:12:39.953573+00,23,32,BL,EM,HL,ML,ML,LL,LL,HL,STL,SQN
651,10023,4,,2017-12-07 14:12:39.969773+00,50,32,EN,EM,HL,ML,ML,LL,LL,HL,STL,SQN
652,10755,4,,2017-12-07 14:45:51.538115+00,184,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
653,10756,1,,2017-12-07 14:45:51.549737+00,108,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
654,10757,4,,2017-12-07 14:45:51.561186+00,1,33,HT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
655,10758,1,,2017-12-07 14:45:51.574543+00,61,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
656,10759,5,,2017-12-07 14:45:51.588684+00,96,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
657,10760,4,,2017-12-07 14:45:51.597298+00,173,33,HT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
658,10761,4,,2017-12-07 14:45:51.612224+00,94,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
659,10762,4,,2017-12-07 14:45:51.622789+00,205,33,HT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
660,10763,3,,2017-12-07 14:45:51.631327+00,102,33,LT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
661,10764,4,,2017-12-07 14:45:51.641398+00,22,33,LT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
662,10765,1,,2017-12-07 14:45:51.653099+00,15,33,LT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
663,10766,2,,2017-12-07 14:45:51.661794+00,105,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
664,10767,2,,2017-12-07 14:45:51.670921+00,117,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
665,10768,4,,2017-12-07 14:45:51.679098+00,192,33,,DT,HL,HL,LL,HL,HL,HL,STL,GLB
666,10769,5,,2017-12-07 14:45:51.687973+00,209,33,HT,DT,HL,HL,LL,HL,HL,HL,STL,GLB
667,11160,2,,2017-12-07 15:43:10.116184+00,332,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
668,11161,4,,2017-12-07 15:43:10.148968+00,301,34,PH,ES,HL,LL,LL,LL,LL,ML,STL,SQN
669,11162,2,,2017-12-07 15:43:10.156322+00,385,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
670,11163,3,,2017-12-07 15:43:10.16356+00,190,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
671,11164,3,,2017-12-07 15:43:10.171396+00,169,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
672,11165,5,,2017-12-07 15:43:10.178656+00,26,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
673,11166,4,,2017-12-07 15:43:10.186214+00,403,34,PH,ES,HL,LL,LL,LL,LL,ML,STL,SQN
674,11167,4,,2017-12-07 15:43:10.19342+00,6,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
675,11168,2,,2017-12-07 15:43:10.211559+00,243,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
676,11169,2,,2017-12-07 15:43:10.223815+00,10,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
677,11170,4,,2017-12-07 15:43:10.231358+00,345,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
678,11171,2,,2017-12-07 15:43:10.239259+00,212,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
679,11172,5,,2017-12-07 15:43:10.249726+00,358,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
680,11173,3,,2017-12-07 15:43:10.258633+00,17,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
681,11174,2,,2017-12-07 15:43:10.266514+00,158,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
682,11175,4,,2017-12-07 15:43:10.274749+00,195,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
683,11176,4,,2017-12-07 15:43:10.282801+00,57,34,BL,ES,HL,LL,LL,LL,LL,ML,STL,SQN
684,11177,3,,2017-12-07 15:43:10.29094+00,50,34,EN,ES,HL,LL,LL,LL,LL,ML,STL,SQN
685,11178,3,,2017-12-07 15:43:10.298519+00,51,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
686,11179,3,,2017-12-07 15:43:10.305974+00,376,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
687,11237,5,4.625773000000001,2017-12-07 15:50:36.616001+00,65,34,PH,ES,HL,LL,LL,LL,LL,ML,STL,SQN
688,11245,1,4.665674,2017-12-07 15:50:36.579223+00,73,34,BL,ES,HL,LL,LL,LL,LL,ML,STL,SQN
689,11229,5,2.9308549999999998,2017-12-07 15:50:36.602352+00,56,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
690,11230,5,3.9656019999999996,2017-12-07 15:50:36.569271+00,58,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
691,11350,3,5.750919000000001,2017-12-07 15:50:36.586382+00,180,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
692,11456,5,3.2639970000000003,2017-12-07 15:50:36.622183+00,290,34,LT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
693,11413,4,4.210219,2017-12-07 15:50:36.554012+00,247,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
694,11346,4,3.6634860000000002,2017-12-07 15:50:36.561645+00,176,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
695,11412,4,3.505343,2017-12-07 15:50:36.503784+00,246,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
696,11565,5,,2017-12-07 16:13:32.386463+00,150,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
697,11463,5,7.606617,2017-12-07 15:50:36.593704+00,297,34,,ES,HL,LL,LL,LL,LL,ML,STL,SQN
698,11509,4,5.357403,2017-12-07 15:50:36.608722+00,346,34,HT,ES,HL,LL,LL,LL,LL,ML,STL,SQN
699,11566,5,,2017-12-07 16:13:32.394058+00,38,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
700,11567,4,,2017-12-07 16:13:32.400656+00,277,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
701,11568,5,,2017-12-07 16:13:32.407224+00,170,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
702,11569,4,,2017-12-07 16:13:32.413727+00,252,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
703,11570,5,,2017-12-07 16:13:32.42047+00,2,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
704,11571,5,,2017-12-07 16:13:32.426797+00,276,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
705,11572,5,,2017-12-07 16:13:32.432776+00,125,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
706,11573,5,,2017-12-07 16:13:32.43922+00,181,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
707,11574,5,,2017-12-07 16:13:32.44572+00,344,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
708,11575,2,,2017-12-07 16:13:32.452211+00,76,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
709,11576,5,,2017-12-07 16:13:32.458979+00,302,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
710,11577,5,,2017-12-07 16:13:32.465894+00,156,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
711,11578,4,,2017-12-07 16:13:32.472526+00,82,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
712,11579,2,,2017-12-07 16:13:32.479209+00,90,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
713,11580,5,,2017-12-07 16:13:32.488881+00,60,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
714,11581,5,,2017-12-07 16:13:32.496662+00,81,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
715,11582,5,,2017-12-07 16:13:32.503701+00,80,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
716,11583,4,,2017-12-07 16:13:32.509992+00,123,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
717,11584,4,,2017-12-07 16:13:32.516583+00,178,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
718,11597,5,7.0805940000000005,2017-12-07 16:21:35.095553+00,14,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
719,11652,4,4.3134760000000005,2017-12-07 16:21:35.106122+00,71,35,EN,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
720,11617,4,2.949711,2017-12-07 16:21:35.085981+00,34,35,PH,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
721,11700,4,3.3000830000000003,2017-12-07 16:21:35.144138+00,126,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
722,11609,5,5.197601000000001,2017-12-07 16:21:35.199527+00,26,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
723,11607,5,7.09323,2017-12-07 16:21:35.195015+00,24,35,PH,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
724,11650,5,5.53095,2017-12-07 16:21:35.208564+00,69,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
725,11635,5,5.339612000000001,2017-12-07 16:21:35.115616+00,53,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
726,11646,2,4.634172,2017-12-07 16:21:35.217222+00,65,35,PH,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
727,11683,5,7.156421000000001,2017-12-07 16:21:35.124996+00,107,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
728,11630,5,5.784075,2017-12-07 16:21:35.21288+00,48,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
729,11600,5,2.415962,2017-12-07 16:21:35.138576+00,17,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
730,11608,5,4.227239,2017-12-07 16:21:35.190318+00,25,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
731,11665,4,7.530677000000001,2017-12-07 16:21:35.16412+00,88,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
732,11708,5,4.953792,2017-12-07 16:21:35.04326+00,134,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
733,11598,5,3.449646,2017-12-07 16:21:35.071413+00,15,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
734,11707,4,6.797413000000001,2017-12-07 16:21:35.023286+00,133,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
735,11741,5,4.261726,2017-12-07 16:21:35.180606+00,169,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
736,11728,5,4.2832300000000005,2017-12-07 16:21:35.081211+00,155,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
737,11761,5,3.6722650000000003,2017-12-07 16:21:35.101386+00,192,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
738,11817,5,4.811694,2017-12-07 16:21:35.052671+00,248,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
739,11801,3,3.6242959999999997,2017-12-07 16:21:35.110513+00,232,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
740,11722,5,4.306511,2017-12-07 16:21:35.076571+00,148,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
741,11720,5,7.769734,2017-12-07 16:21:35.13399+00,146,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
742,11826,4,5.110601,2017-12-07 16:21:35.120427+00,258,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
743,11784,4,4.510838,2017-12-07 16:21:35.129486+00,215,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
744,11731,5,4.57636,2017-12-07 16:21:35.047911+00,159,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
745,11811,5,6.2268989999999995,2017-12-07 16:21:35.028866+00,242,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
746,11765,5,5.239798,2017-12-07 16:21:35.057523+00,196,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
747,11813,5,5.808972,2017-12-07 16:21:35.018345+00,244,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
748,11851,5,6.046636,2017-12-07 16:21:35.007763+00,285,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
749,11852,5,6.899058999999999,2017-12-07 16:21:35.012937+00,286,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
750,11929,5,6.073976999999999,2017-12-07 16:21:35.033648+00,365,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
751,11869,5,4.743946,2017-12-07 16:21:35.221874+00,304,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
752,11921,5,5.114018,2017-12-07 16:21:35.175566+00,357,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
753,11943,5,5.922904,2017-12-07 16:21:35.154746+00,379,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
754,11877,5,6.4792559999999995,2017-12-07 16:21:35.149755+00,312,35,PH,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
755,11868,5,7.29703,2017-12-07 16:21:35.204108+00,303,35,BL,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
756,11875,4,7.995906,2017-12-07 16:21:35.159448+00,310,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
757,11926,5,7.539102000000001,2017-12-07 16:21:35.038582+00,362,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
758,11850,5,6.108707,2017-12-07 16:21:34.98878+00,284,35,LT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
759,11970,2,,2017-12-07 16:20:42.473943+00,262,36,BL,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
760,11971,3,,2017-12-07 16:20:42.481534+00,29,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
761,11972,2,,2017-12-07 16:20:42.487815+00,1,36,HT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
762,11973,4,,2017-12-07 16:20:42.49438+00,201,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
763,11974,3,,2017-12-07 16:20:42.501043+00,31,36,PH,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
764,11975,2,,2017-12-07 16:20:42.517235+00,402,36,LT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
765,11976,4,,2017-12-07 16:20:42.52419+00,273,36,LT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
766,11977,3,,2017-12-07 16:20:42.53111+00,173,36,HT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
767,11978,3,,2017-12-07 16:20:42.538379+00,366,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
768,11979,2,,2017-12-07 16:20:42.546671+00,12,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
769,11980,3,,2017-12-07 16:20:42.553542+00,172,36,LT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
770,11981,2,,2017-12-07 16:20:42.560045+00,59,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
771,11982,3,,2017-12-07 16:20:42.566685+00,277,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
772,11983,3,,2017-12-07 16:20:42.573566+00,120,36,HT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
773,11984,3,,2017-12-07 16:20:42.579989+00,83,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
774,11985,2,,2017-12-07 16:20:42.586512+00,159,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
775,11986,4,,2017-12-07 16:20:42.593344+00,371,36,PH,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
776,11987,3,,2017-12-07 16:20:42.600192+00,184,36,,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
777,11988,2,,2017-12-07 16:20:42.607435+00,387,36,LT,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
778,11989,3,,2017-12-07 16:20:42.614998+00,73,36,BL,MT,HL,ML,ML,LL,ML,ML,LLL,GLB
779,11910,5,5.4066790000000005,2017-12-07 16:21:35.062086+00,346,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
780,11789,5,5.045281,2017-12-07 16:21:35.066943+00,220,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
781,11596,5,4.557787,2017-12-07 16:21:35.090913+00,13,35,HT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
782,11807,5,5.287913,2017-12-07 16:21:35.168943+00,238,35,,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
783,11661,5,3.727642,2017-12-07 16:21:35.18544+00,84,35,MT,EM,HL,HL,HL,HL,HL,LL,LLL,GLB
784,12780,2,,2017-12-07 21:10:26.673605+00,402,39,LT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
785,12781,2,,2017-12-07 21:10:26.68464+00,197,39,LT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
786,12782,5,,2017-12-07 21:10:26.694629+00,383,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
787,12783,4,,2017-12-07 21:10:26.70508+00,30,39,PH,ES,ML,ML,ML,LL,LL,LL,STL,SQN
788,12784,2,,2017-12-07 21:10:26.714828+00,107,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
789,12785,4,,2017-12-07 21:10:26.726566+00,177,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
790,12786,4,,2017-12-07 21:10:26.736978+00,146,39,HT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
791,12787,4,,2017-12-07 21:10:26.74744+00,179,39,LT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
792,12788,4,,2017-12-07 21:10:26.757195+00,365,39,LT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
793,12789,4,,2017-12-07 21:10:26.76669+00,21,39,HT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
794,12790,4,,2017-12-07 21:10:26.777184+00,129,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
795,12791,4,,2017-12-07 21:10:26.792446+00,362,39,HT,ES,ML,ML,ML,LL,LL,LL,STL,SQN
796,12792,2,,2017-12-07 21:10:26.802584+00,259,39,BL,ES,ML,ML,ML,LL,LL,LL,STL,SQN
797,12793,4,,2017-12-07 21:10:26.811723+00,66,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
798,12794,4,,2017-12-07 21:10:26.821764+00,309,39,,ES,ML,ML,ML,LL,LL,LL,STL,SQN
