,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
50,2504,5,4.1484440000000005,2017-12-04 17:57:24.549902+00,56,9,LT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
51,2521,5,3.853754,2017-12-04 17:57:24.55785+00,73,9,BL,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
52,2561,5,2.6203279999999998,2017-12-04 17:58:56.866759+00,115,9,PH,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
53,2516,1,4.090605,2017-12-04 17:57:24.566018+00,68,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
54,2473,5,3.868963,2017-12-04 17:58:56.892744+00,24,9,PH,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
55,8514,2,,2017-12-07 12:28:33.537966+00,186,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
56,2470,5,3.547652,2017-12-04 17:57:24.514336+00,21,9,HT,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
57,2667,5,2.556342,2017-12-04 17:58:56.876438+00,224,9,BL,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
58,2674,5,3.3399199999999998,2017-12-04 17:57:24.541277+00,232,9,BL,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
59,8516,2,,2017-12-07 12:28:33.563088+00,394,29,,EM,HL,ML,LL,LL,ML,HL,STL,GLB
60,2841,5,,2017-12-04 17:57:00.37052+00,23,10,BL,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
61,2842,5,,2017-12-04 17:57:00.383598+00,333,10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
62,2843,5,,2017-12-04 17:57:00.396325+00,133,10,BL,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
63,2836,4,2.680416,2017-12-04 17:57:24.50536+00,401,9,,DT,ML,ML,ML,LL,ML,ML,LLL,GLB
64,2844,4,,2017-12-04 17:57:00.409435+00,112,10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
65,2845,3,,2017-12-04 17:57:00.422144+00,287,10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
66,2846,3,,2017-12-04 17:57:00.434644+00,335,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
67,2847,3,,2017-12-04 17:57:00.447397+00,116,10,HT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
68,2848,5,,2017-12-04 17:57:00.460119+00,41,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
69,2849,4,,2017-12-04 17:57:00.473533+00,179,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
70,2850,4,,2017-12-04 17:57:00.487116+00,191,10,HT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
71,2851,4,,2017-12-04 17:57:00.499856+00,387,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
72,2852,2,,2017-12-04 17:57:00.512451+00,61,10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
73,2853,4,,2017-12-04 17:57:00.524961+00,156,10,,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
74,2854,4,,2017-12-04 17:57:00.537248+00,276,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
75,2855,3,,2017-12-04 17:57:00.549117+00,389,10,LT,ES,ML,ML,ML,ML,ML,ML,LLL,GLB
76,8518,3,,2017-12-07 12:28:33.607638+00,175,29,LT,EM,HL,ML,LL,LL,ML,HL,STL,GLB
