id,rating,predicted_rating,context_time,movie_id,learner_id
3543,5,5.295517,2017-12-04 18:10:53.464995+00,296,8
3596,4,5.151796,2017-12-04 18:10:53.51879+00,350,8
3553,3,6.28399,2017-12-04 18:10:53.71793+00,306,8
3547,3,3.962495,2017-12-04 18:10:53.734442+00,300,8
8521,1,,2017-12-07 12:28:33.689527+00,388,29
3481,3,5.3716,2017-12-04 18:10:53.537884+00,232,8
3548,4,5.277642,2017-12-04 18:10:53.701766+00,301,8
3499,5,2.618959,2017-12-04 18:10:53.393468+00,251,8
3666,5,5.305854,2017-12-04 18:48:25.03939+00,3,11
3305,3,5.282578,2017-12-04 18:10:53.448542+00,42,8
3603,5,5.018288,2017-12-04 18:10:53.612104+00,357,8
3605,4,4.617245,2017-12-04 18:10:53.631685+00,359,8
3555,4,6.631978,2017-12-04 18:10:53.709896+00,308,8
3429,3,4.227933,2017-12-04 18:10:53.725968+00,176,8
3651,5,,2017-12-04 18:30:47.877528+00,334,11
3652,5,,2017-12-04 18:30:47.897629+00,30,11
3653,3,,2017-12-04 18:30:47.91054+00,250,11
3654,1,,2017-12-04 18:30:47.925605+00,244,11
3655,4,,2017-12-04 18:30:47.93831+00,245,11
3656,4,,2017-12-04 18:30:47.951421+00,115,11
3657,4,,2017-12-04 18:30:47.965782+00,85,11
3658,4,,2017-12-04 18:30:47.978673+00,84,11
3659,4,,2017-12-04 18:30:47.991292+00,43,11
3660,5,,2017-12-04 18:30:48.011503+00,80,11
3661,3,,2017-12-04 18:30:48.02608+00,157,11
3662,4,,2017-12-04 18:30:48.039933+00,283,11
3663,4,,2017-12-04 18:30:48.05397+00,364,11
3709,5,5.450635,2017-12-04 18:48:25.084882+00,48,11
3664,5,4.554381,2017-12-04 18:48:25.050194+00,1,11
3719,5,3.748985,2017-12-04 18:48:25.270361+00,58,11
3692,2,3.051395,2017-12-04 18:48:25.294799+00,29,11
8522,4,,2017-12-07 12:28:33.707362+00,7,29
3679,5,5.565919,2017-12-04 18:48:25.253858+00,16,11
3696,3,1.541914,2017-12-04 18:48:25.100598+00,34,11
3848,4,9.780718,2017-12-04 18:48:25.306291+00,192,11
3750,5,3.208208,2017-12-04 18:48:25.180455+00,92,11
3772,5,6.512671,2017-12-04 18:48:25.216639+00,114,11
3826,5,3.665846,2017-12-04 18:48:25.236004+00,170,11
3825,5,4.390041,2017-12-04 18:48:25.117064+00,169,11
3779,3,3.817648,2017-12-04 18:48:25.092732+00,122,11
8523,1,,2017-12-07 12:28:33.732191+00,248,29
3841,4,4.28878,2017-12-04 18:48:25.125527+00,185,11
3732,5,5.977088,2017-12-04 18:48:25.261962+00,71,11
3849,5,8.456963,2017-12-04 18:48:25.314937+00,193,11
3744,4,7.163113,2017-12-04 18:48:25.3235+00,86,11
3783,5,9.171899,2017-12-04 18:48:25.011027+00,126,11
3959,4,5.684197,2017-12-04 18:48:25.348741+00,307,11
3966,3,5.412816,2017-12-04 18:48:25.172114+00,314,11
3940,4,3.818371,2017-12-04 18:48:25.197764+00,288,11
3934,5,8.076332,2017-12-04 18:48:25.226475+00,281,11
3880,5,5.184982,2017-12-04 18:48:25.332324+00,224,11
3902,5,0.800785,2017-12-04 18:48:25.20725+00,248,11
3949,5,4.852745,2017-12-04 18:48:25.069438+00,297,11
3951,5,6.632004,2017-12-04 18:48:25.077173+00,299,11
3888,4,5.856871,2017-12-04 18:48:25.134429+00,232,11
3952,4,7.46409,2017-12-04 18:48:25.356625+00,300,11
3942,3,5.146825,2017-12-04 18:48:25.060262+00,290,11
3667,2,5.616298,2017-12-04 18:48:25.02091+00,4,11
3983,5,5.489172,2017-12-04 18:48:25.030111+00,331,11
4051,3,6.869054,2017-12-04 18:48:25.109008+00,401,11
4042,5,4.638704,2017-12-04 18:48:25.143701+00,392,11
4005,3,6.588349,2017-12-04 18:48:25.152955+00,354,11
3748,3,8.555774,2017-12-04 18:48:25.162303+00,90,11
3900,4,4.436762,2017-12-04 18:48:25.188989+00,246,11
4030,3,3.817299,2017-12-04 18:48:25.244736+00,380,11
4010,1,2.594112,2017-12-04 18:48:25.278802+00,359,11
3687,5,7.206504,2017-12-04 18:48:25.286969+00,24,11
3815,5,4.319773,2017-12-04 18:48:25.340447+00,159,11
4056,5,,2017-12-05 16:04:34.765981+00,267,12
4057,5,,2017-12-05 16:04:34.776441+00,15,12
4058,5,,2017-12-05 16:04:34.78535+00,71,12
4059,5,,2017-12-05 16:04:34.793783+00,358,12
4084,5,12.242623,2017-12-05 16:15:19.013203+00,26,12
4061,5,4.245037,2017-12-05 16:15:18.996375+00,2,12
4087,5,10.511143,2017-12-05 16:15:19.034334+00,29,12
4082,5,5.288923,2017-12-05 16:15:19.020639+00,24,12
4081,5,1.335223,2017-12-05 16:15:18.978089+00,23,12
4088,5,7.09108,2017-12-05 16:15:18.559184+00,30,12
4166,5,13.170714,2017-12-05 16:15:18.302115+00,109,12
4114,5,16.173589,2017-12-05 16:15:18.490158+00,56,12
4116,5,11.694836,2017-12-05 16:15:18.520291+00,58,12
4216,5,8.890295,2017-12-05 16:15:18.708086+00,159,12
4171,5,7.910282,2017-12-05 16:15:18.723417+00,114,12
4143,5,16.021261,2017-12-05 16:15:18.263466+00,86,12
4192,5,4.051821,2017-12-05 16:15:18.273769+00,135,12
4190,5,9.4744,2017-12-05 16:15:18.82498+00,133,12
4217,5,6.521613,2017-12-05 16:15:18.345466+00,160,12
4194,5,10.9705,2017-12-05 16:15:18.76914+00,137,12
4222,5,8.811867,2017-12-05 16:15:18.404665+00,165,12
